fval,Prophylactic zinc supplementation,Vitamin A supplementation,Complementary feeding education,Public provision of complementary foods,Breastfeeding promotion,Balanced energy-protein supplementation,Multiple micronutrient supplementation
18040664.1,24694533.97,0.111575663,0.023848582,0.342200094,0.136881475,0.084758974,0.026519156
16710300.77,7.850470472,2.296777467,24694466.39,19.60299658,21.3700476,12.32455392,4.866602099
17434551.52,1622571.696,5648737.466,7920960.891,295758.5163,2886241.16,5727.129429,6314537.841
18196621.76,0.002384752,0.005534707,0.000599442,24694534.68,0.006608222,9.33E-05,0.000790145
16710300.22,3.063705092,0.653926558,24694525.35,0.419060977,2.834043436,2.34009227,0.038007677
16710300.74,0,3.185573704,24694487.72,2.311682428,0.001348794,40.59095859,0.891656911
16710300.19,1.412725931,0.617275127,24694528.58,1.106324241,1.63515757,0.080861016,1.263569186
16710300.15,2.20E-05,3.52E-05,24694534.7,1.38E-05,4.97E-06,8.90E-07,1.31E-05
16710300.21,0.733176338,0.563442216,24694528.53,1.545125188,1.878354411,1.334813632,0.114582727
16710300.15,4.97E-06,1.33E-05,24694534.7,1.05E-05,3.09E-06,9.78E-06,7.70E-06
16710300.15,0.000271265,0.000263645,24694534.7,0.000240313,0.000331787,0.000532796,0.000326317
17284727.91,2733770.988,703060.4406,9834100.195,247625.183,8236388.861,6.65E-11,2939589.033
16710300.15,8.76E-07,8.54E-07,24694534.7,3.14E-07,3.23E-07,3.72E-07,7.95E-08
16710300.58,21.73396653,7.669033958,24694442.51,21.65620778,6.291030743,0.197559818,34.64479819
18196621.76,1.62E-07,2.27E-07,1.06E-08,24694534.7,1.06E-07,3.17E-07,2.53E-07
16710300.18,0.453999711,0.915450098,24694530.98,0.65824811,0.826418473,0.147026202,0.721306849
16711744.84,1343252.073,204080.4552,22899280.67,159403.4101,50735.37593,37782.71925,0
16710300.47,2.044405952,4.509373628,24694493.64,15.83820825,6.115638823,7.564521849,4.982978566
17876549.86,3734806.843,723018.6261,3638393.295,4307063.726,2133325.255,4904935.345,5252991.61
16710300.15,0.000157695,1.91E-05,24694534.7,0.000124253,0.000129814,5.93E-05,6.71E-05
18196635.11,1111.180396,103.3079909,44.56495653,24691133.72,639.1110479,781.584806,721.2281819
16710300.84,2.470009596,9.469521713,24694470.09,8.534627531,32.91366387,1.012923217,10.21003852
17085272.88,5887795.18,220485.1461,11386161.98,1574647.772,1585963.434,2590521.745,1448959.439
17610937.64,4711089.236,4806439.288,5572963.193,4445209.208,358706.1297,4488239.023,311888.6231
16710300.15,4.15E-08,2.72E-08,24694534.7,5.24E-08,8.67E-10,5.95E-08,1.82E-08
16710300.15,0.055327396,0.043714905,24694534.53,0.014498781,0.025792927,0.015790013,0.013219623
16710306.46,13.44219481,226.5125273,24693709.91,187.9506639,108.0733622,120.1173956,168.6957993
16711413.39,29755.43623,0,24470499.1,136840.6333,8852.121461,12209.98462,36377.42169
16710300.15,0.000681804,0.000397447,24694534.69,0.005550611,1.10E-19,0.000656009,0.000896068
16843197.59,299762.1368,560430.6888,18252749.83,5.78E-10,1219318.898,3615340.94,746932.2052
16710300.15,0.000407782,4.96E-06,24694534.7,0.001591253,1.10E-20,0.000160181,0.000218717
17517653.26,468797.6374,6813711.318,7259596.63,417948.5622,1641141.693,861003.9638,7232334.895
18040664.09,24694534.39,0.107947437,0.027883184,0.051079685,0.073759317,0.046299933,0.003065334
17156396.1,3683082.976,1442866.753,10499139.81,3869823.089,2685642.285,712286.1361,1801693.653
16710300.23,0.079669718,2.680584933,24694524.43,1.175218354,1.293055784,1.110864454,3.930780074
16710300.15,4.87E-09,1.98E-08,24694534.7,7.32E-08,1.99E-07,2.55E-08,2.20E-08
17016077.39,3508226.1,944238.5671,12748193.4,1355938.535,824273.1883,1774027.181,3539637.726
16710300.15,0.000148013,7.08E-06,24694534.7,1.69E-05,2.45E-05,2.96E-06,1.07E-05
16710400.35,1199.237841,460.0775922,24684000.62,2686.647708,2419.641308,3760.528903,7.951093251
16710300.15,0.043621173,0.055925472,24694534.35,0.060257619,0.06666266,0.052724435,0.07366004
16710300.15,0.129541662,0.271218976,24694533.82,0.094895911,0.067773886,0.079651197,0.239902698
16710300.15,8.24E-06,4.75E-07,24694534.7,3.76E-05,9.06E-06,3.40E-07,3.77E-05
16710300.15,2.91E-07,1.32E-08,24694534.7,8.97E-08,1.96E-08,6.63E-08,8.72E-08
16740531.7,2783915.752,134743.1406,20079614.48,1001704.488,42023.71492,649107.7102,3425.415989
16710300.15,6.10E-05,0.00035354,24694534.7,1.80E-05,9.43E-05,5.28E-05,0.000127094
16710300.19,1.923586353,5.46748861,24694523.5,2.200449939,1.246274452,0.113441101,0.243891869
16720894.11,123964.0604,39363.96799,23381152.68,527406.1146,143271.6902,114380.103,364996.0854
16710301.54,309.8057347,23.05866923,24693916.31,110.4930103,61.44424174,9.52E-14,113.591022
16710300.17,0.420320579,0.56546712,24694532.6,0.131858963,0.581225013,0.30200333,0.101401093
16710300.15,1.87E-06,2.30E-06,24694534.7,9.06E-07,1.21E-06,8.05E-06,3.92E-06
17636405.8,3384858.895,5715223.968,5512526.757,3780509.947,1009655.853,2563797.639,2727961.642
17354408.88,6681771.376,6.23E-10,8210664.734,983910.6878,2536718.644,4197317.077,2084152.181
16710300.15,9.46E-06,1.82E-05,24694534.7,7.29E-06,5.21E-05,4.19E-05,4.11E-05
16710181.66,45606.20988,1029.886926,24644625.75,1476.755856,1796.096992,0,1.84E-13
16710304.42,62.73308548,52.99756211,24694127.46,5.459311068,234.565625,7.96091444,43.5208498
16710300.15,1.25E-08,5.91E-06,24694534.7,1.83E-06,3.41E-06,2.36E-06,4.08E-07
17203436.7,8174268.827,1206410.952,9139396.369,3144415.906,884179.3806,1159437.723,986425.5437
17421140.48,2086580.089,5873543.731,7646310.854,4089985.896,1177538.99,1675036.224,2145538.917
16710300.2,0.044979155,0.00988617,24694530.75,0.10479846,0.958789337,1.843380774,0.987370033
16710300.15,9.20E-08,1.09E-06,24694534.7,8.56E-07,4.52E-07,6.34E-08,2.35E-07
16710300.15,0.000848094,4.37E-20,24694534.7,0.001030858,4.02E-05,0.001718009,0.000190353
16710300.15,0.000248531,0.000209629,24694534.7,0.000357224,0.00021416,5.38E-05,0.000405685
16710300.15,0.023448544,0.008096417,24694534.59,0,0.077528619,0.004799596,4.15E-18
16710300.15,1.82E-06,1.88E-06,24694534.7,2.86E-06,5.92E-06,1.83E-05,5.56E-06
16710300.15,1.09E-07,7.98E-09,24694534.7,1.69E-07,2.68E-08,1.09E-07,1.21E-07
16737944.99,1080905.025,1103907.998,21095818.68,781873.8171,289028.7061,236793.8031,106206.6692
17830420.99,7437053.414,4141615.52,3620967.115,1863003.79,850976.0983,4495975.91,2284942.851
16710958.92,51381.86595,27419.41296,24562866.17,8479.220263,37217.49773,5395.437072,1775.091728
16710300.18,0.48820789,0.88630106,24694531.64,0.020462836,0.680760771,0.912345721,0.075746762
